date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:01	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2013:23:00%20GMT	https://marumarudd.site.live/%22https://images.unsplash.com/photo-1577134352098-0599fcdefaae?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wzMjE1M3wwfDF8c2VhcmNofDJ8fGZpdmVycnxlbnwwfHx8fDE2ODYzMTU3NDB8MA&ixlib=rb-4.0.3&q=80&w=1080%22	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/_https_/images.unsplash.com/photo-1577134352098-0599fcdefaaef561	(from https://marumarudd.site.live/?site=live)
21:23:01	18107/18107	---M--	200	added ('OK')	image/jpeg	etag:%2246bb-5cf95cd567b78%22	https://marumarudd.site.live/img/ySDoC-FclR1-XVac2-QCl6u-7EZiK.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/ySDoC-FclR1-XVac2-QCl6u-7EZiK.jpg	(from https://marumarudd.site.live/?site=live)
21:23:01	18107/18107	---M--	200	added ('OK')	image/jpeg	etag:%2246bb-5b87cdfce1228%22	https://marumarudd.site.live/img/lqME0-0SMx6-SICMt-OFKDV-xsN9m.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/lqME0-0SMx6-SICMt-OFKDV-xsN9m.jpg	(from https://marumarudd.site.live/?site=live)
21:23:02	31578/31578	---M--	200	added ('OK')	image/jpeg	etag:%227b5a-5b0e63205d920%22	https://marumarudd.site.live/img/aR7HK-AFqcS-BqqWx-IULfx-pZIBr.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/aR7HK-AFqcS-BqqWx-IULfx-pZIBr.jpg	(from https://marumarudd.site.live/?site=live)
21:23:02	24416/24416	---M--	200	added ('OK')	image/jpeg	etag:%225f60-5af20325df550%22	https://marumarudd.site.live/img/xVeD8-yJvms-1yPfV-qej9T-qi5mv.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/xVeD8-yJvms-1yPfV-qej9T-qi5mv.jpg	(from https://marumarudd.site.live/?site=live)
21:23:02	23488/23488	---M--	200	added ('OK')	image/jpeg	etag:%225bc0-5b07829aef040%22	https://marumarudd.site.live/img/eaIxi-336OS-Zpwui-s0u9e-Mx8aM.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/eaIxi-336OS-Zpwui-s0u9e-Mx8aM.jpg	(from https://marumarudd.site.live/?site=live)
21:23:02	16677/16677	---M--	200	added ('OK')	image/jpeg	etag:%224125-5c902f5c15900%22	https://marumarudd.site.live/img/v24f5-XfZg9-gk0sF-sFXvV-PshxS.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/v24f5-XfZg9-gk0sF-sFXvV-PshxS.jpg	(from https://marumarudd.site.live/?site=live)
21:23:02	33253/33253	---M--	200	added ('OK')	image/jpeg	etag:%2281e5-5b10cabd95828%22	https://marumarudd.site.live/img/0M5Cz-otuoz-1WRhp-6ZdZd-TlBl5.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/0M5Cz-otuoz-1WRhp-6ZdZd-TlBl5.jpg	(from https://marumarudd.site.live/?site=live)
21:23:03	52913/52913	---M--	200	added ('OK')	image/jpeg	etag:%22ceb1-5a7dc4a4ac0d0%22	https://marumarudd.site.live/img/sLyb8-F4jej-S4CT2-sQkll-vGSTH.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/sLyb8-F4jej-S4CT2-sQkll-vGSTH.jpg	(from https://marumarudd.site.live/?site=live)
21:23:03	8356/8356	---M--	200	added ('OK')	image/jpeg	etag:%2220a4-5b8e397b3cbd8%22	https://marumarudd.site.live/img/mnAT4-55BRc-j1qdN-ulFsc-1Uv1k.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/mnAT4-55BRc-j1qdN-ulFsc-1Uv1k.jpg	(from https://marumarudd.site.live/?site=live)
